somay,distance,may0,may1,may2,may3,reward
0,0,0.7756666666666666,0.0,1.1091056281448302,0.0,1
0,0,0.19433333333333333,0.0,0.10910562814483016,0.0,1
0,0,0.389,0.0,0.10910562814483016,0.0,1
0,0,0.5840000000000001,0.0,0.10910562814483016,0.0,1
0,0,0.7793333333333334,0.0,0.10910562814483016,0.0,1
0,0,0.19566666666666666,0.0,0.0,0.0,1
0,0,0.39166666666666666,0.0,0.0,0.0,1
0,0,0.5876666666666667,0.0,0.0,0.0,1
0,0,0.197,0.0,0.0,0.0,1
0,0,0.3943333333333333,0.0,0.0,0.0,1
2,0.2886688012785054,0.3943333333333333,0.0,0.6379232873629445,0.0,1
2,0.2886688012785054,0.0,0.0,0.6387566206962778,0.0,1
2,0.2886688012785054,0.0,0.0,1.1345899540296112,0.0,1
2,0.2886688012785054,0.0,0.0,0.639853485873234,0.0,1
2,0.2886688012785054,0.0,0.0,1.137353485873234,0.0,1
0,0,0.19933333333333333,0.0,1.137353485873234,0.0,1
0,0,0.399,0.0,1.137353485873234,0.0,1
2,0.2886688012785054,0.0,0.0,0.644415450305335,0.0,1
2,0.2886688012785054,0.0,0.0,1.144415450305335,0.0,1
0,0,0.2,0.0,1.144415450305335,0.0,1
0,0,0.4,0.0,1.144415450305335,0.0,1
2,0.2886688012785054,0.0,0.0,0.6468299747004056,0.0,1
2,0.2886688012785054,0.0,0.0,1.1484966413670723,0.0,1
2,0.2886688012785054,0.0,0.0,0.650163308033739,0.0,1
2,0.2886688012785054,0.0,0.0,1.152663308033739,0.0,1
0,0,0.20133333333333334,0.0,1.152663308033739,0.0,1
0,0,0.4026666666666667,0.0,1.152663308033739,0.0,1
0,0,0.202,0.0,0.15266330803373895,0.0,1
2,0.2886688012785054,0.0,0.0,0.6549460665069979,0.0,1
2,0.2886688012785054,0.0,0.0,1.1632793998403312,0.0,1
0,0,0.20366666666666666,0.0,1.1632793998403312,0.0,1
0,0,0.4076666666666666,0.0,1.1632793998403312,0.0,1
2,0.2886688012785054,0.0,0.0,0.6741127331736646,0.0,1
2,0.2886688012785054,0.0,0.0,1.184946066506998,0.0,1
2,0.2886688012785054,0.0,0.0,0.6957793998403313,0.0,1
2,0.2886688012785054,0.0,0.0,1.2066127331736647,0.0,0.9993807484752327
0,0,0.205,0.0,1.2066127331736647,0.0,1
0,0,0.4103333333333333,0.0,1.2066127331736647,0.0,1
2,0.2886688012785054,0.0,0.0,0.7257793998403314,0.0,1
2,0.2886688012785054,0.0,0.0,1.2482793998403312,0.0,0.9755675456227665
0,0,0.20933333333333334,0.0,1.2482793998403312,0.0,1
2,0.2886688012785054,0.0,0.0,0.7724460665069979,0.0,1
2,0.2886688012785054,0.0,0.0,1.2982793998403312,0.0,0.9402093926484874
2,0.2886688012785054,0.0,0.0,0.8241127331736646,0.0,1
2,0.2886688012785054,0.0,0.0,1.3507793998403312,0.0,0.9064903598045976
0,0,0.21066666666666667,0.0,1.3507793998403312,0.0,1
2,0.2886688012785054,0.0,0.0,0.8791127331736646,0.0,1
2,0.2886688012785054,0.0,0.0,1.4091127331736646,0.0,0.8654638809519413
2,0.2886688012785054,0.0,0.0,0.9391127331736646,0.0,1
0,0,0.213,0.0,0.9391127331736646,0.0,1
0,0,0.42633333333333334,0.0,0.9391127331736646,0.0,1
0,0,0.6396666666666667,0.0,0.9391127331736646,0.0,1
0,0,0.8536666666666667,0.0,0.9391127331736646,0.0,1
2,0.2886688012785054,0.0,0.0,0.6870578737703984,0.0,1
2,0.2886688012785054,0.0,0.0,1.2237245404370651,0.0,1
0,0,0.21466666666666667,0.0,1.2237245404370651,0.0,1
0,0,0.42966666666666664,0.0,1.2237245404370651,0.0,1
0,0,0.6446666666666666,0.0,1.2237245404370651,0.0,1
0,0,0.8596666666666666,0.0,1.2237245404370651,0.0,1
2,0.2886688012785054,0.0,0.0,0.7620578737703985,0.0,1
2,0.2886688012785054,0.0,0.0,1.3012245404370653,0.0,0.9791987423223412
0,0,0.21566666666666667,0.0,1.3012245404370653,0.0,1
2,0.2886688012785054,0.0,0.0,0.8403912071037319,0.0,1
2,0.2886688012785054,0.0,0.0,1.3812245404370653,0.0,0.9280357081895294
2,0.2886688012785054,0.0,0.0,0.9220578737703987,0.0,1
2,0.2886688012785054,0.0,0.0,0.6954374974206137,0.0,1
2,0.2886688012785054,0.0,0.0,1.2379374974206137,0.0,1
2,0.2886688012785054,0.0,0.0,0.7804374974206136,0.0,1
2,0.2886688012785054,0.0,0.0,1.323770830753947,0.0,0.9760508968146456
0,0,0.21766666666666667,0.0,1.323770830753947,0.0,1
2,0.2886688012785054,0.0,0.0,0.8679374974206138,0.0,1
2,0.2886688012785054,0.0,0.0,1.4121041640872805,0.0,0.9212761181527998
2,0.2886688012785054,0.0,0.0,0.7002202558938728,0.0,1
2,0.2886688012785054,0.0,0.0,1.245220255893873,0.0,1
0,0,0.21866666666666668,0.0,1.245220255893873,0.0,1
0,0,0.43766666666666665,0.0,1.245220255893873,0.0,1
2,0.2886688012785054,0.0,0.0,0.7935535892272063,0.0,1
